holiday_desc|holiday_dt
Easter Monday|2010-04-05 00:00:00
Good Friday|2003-04-18 00:00:00
Saint Berchtold|2007-01-02 00:00:00
St. Stephen¦s Day|2008-12-26 00:00:00
Swiss National Holiday|2009-08-01 00:00:00
Ascension Day|2011-06-02 00:00:00
Labour Day|2004-05-01 00:00:00
Labour Day|2002-05-01 00:00:00
Easter Monday|2013-04-01 00:00:00
Labour Day|2013-05-01 00:00:00
Easter Monday|2011-04-25 00:00:00
Whitsun|2007-05-27 00:00:00
Labour Day|2009-05-01 00:00:00
Easter Monday|2009-04-13 00:00:00
Labour Day|2010-05-01 00:00:00
Easter Monday|2004-04-12 00:00:00
Easter Monday|2007-04-09 00:00:00
Good Friday|2008-03-21 00:00:00
Whit Monday|2002-05-20 00:00:00
Easter|2010-04-04 00:00:00
Ascension Day|2012-05-17 00:00:00
Labour Day|2008-05-01 00:00:00
Swiss National Holiday|2015-08-01 00:00:00
Christmas|2016-12-25 00:00:00
